epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,4644.73,0.36621,0.35439,0.8237,0.9843,0.99439,0.99467,0.93996,0.32408,0.30974,0.80363,0.000292938,0.000292938,0.000292938
163,4673.17,0.36398,0.37646,0.81385,0.9871,0.99131,0.99467,0.93663,0.33925,0.30953,0.80459,0.000290875,0.000290875,0.000290875
164,4701.81,0.39011,0.38384,0.82575,0.98641,0.99133,0.99486,0.9397,0.343,0.30881,0.80677,0.000288813,0.000288813,0.000288813
165,4731.38,0.38722,0.39138,0.82164,0.98922,0.99286,0.995,0.94253,0.31562,0.29813,0.80501,0.00028675,0.00028675,0.00028675
166,4761.72,0.39824,0.389,0.82234,0.98985,0.99282,0.995,0.93309,0.33412,0.30286,0.80448,0.000284688,0.000284688,0.000284688
167,4791.67,0.38609,0.389,0.82988,0.98893,0.99286,0.995,0.93132,0.3335,0.30474,0.80418,0.000282625,0.000282625,0.000282625
168,4821.75,0.3829,0.38282,0.82849,0.98715,0.99102,0.99467,0.936,0.3082,0.29575,0.80441,0.000280562,0.000280562,0.000280562
169,4850.22,0.3866,0.38523,0.82102,0.98935,0.99487,0.995,0.94017,0.31966,0.2952,0.80435,0.0002785,0.0002785,0.0002785
170,4881.49,0.39794,0.38832,0.83857,0.98996,0.99061,0.99487,0.92854,0.35363,0.30748,0.80553,0.000276437,0.000276437,0.000276437
171,4913.4,0.38903,0.37172,0.82683,0.99097,0.99111,0.99487,0.93413,0.31926,0.3019,0.80514,0.000274375,0.000274375,0.000274375
172,4944.72,0.37422,0.37093,0.82375,0.98933,0.99228,0.99487,0.93997,0.31659,0.29269,0.80527,0.000272313,0.000272313,0.000272313
173,4976.13,0.37987,0.37993,0.82444,0.98545,0.99594,0.99487,0.93787,0.35186,0.29801,0.80869,0.00027025,0.00027025,0.00027025
174,5005.05,0.38759,0.37566,0.82649,0.98454,0.9931,0.99487,0.95076,0.31181,0.28729,0.80576,0.000268188,0.000268188,0.000268188
175,5033.67,0.39537,0.38051,0.82408,0.98682,0.9957,0.99486,0.94844,0.30476,0.28745,0.80581,0.000266125,0.000266125,0.000266125
176,5062.28,0.38462,0.37359,0.831,0.98512,0.99589,0.99486,0.93311,0.34401,0.29496,0.809,0.000264062,0.000264062,0.000264062
177,5091.28,0.37922,0.36588,0.81824,0.98339,0.99624,0.99487,0.93914,0.32244,0.28654,0.80699,0.000262,0.000262,0.000262
